Id,Title,StaringActorId,StaringActor,ActorAgeGapId,AgeGapDefinition,WriterId,Writer,Genres,GenreId,NumberOfVotes,Rating,Success
3768,From Russia with Love,12588,Sean Connery,4,30s,517489,Richard Maibaum,Action,15,102727,7.5,1
3769,The Great Escape,13000,Steve McQueen,4,30s,106129,Paul Brickhill,Adventure,10,198970,8.2,1
3770,Goldfinger,12588,Sean Connery,4,30s,517489,Richard Maibaum,Action,15,154979,7.7,1
3771,Mary Poppins,12730,Julie Andrews,5,20s,868698,Bill Walsh,Comedy,3,129246,7.8,1
3772,Per un pugno di dollari,12605,Clint Eastwood,4,30s,88205,Adriano Bolzoni,Western,16,172762,8.0,1
3773,Per qualche dollaro in piÃ¹,12605,Clint Eastwood,4,30s,12070,Sergio Leone,Western,16,196896,8.3,1
3774,The Sound of Music,12730,Julie Andrews,5,20s,400736,George Hurdalek,Biography,17,174427,8.0,1
3775,"Il buono, il brutto, il cattivo",12605,Clint Eastwood,4,30s,856933,Luciano Vincenzoni,Western,16,599317,8.9,1
3776,Cool Hand Luke,12519,Paul Newman,3,40s,635591,Donn Pearce,Crime,14,143447,8.1,1
3777,A Clockwork Orange,12995,Malcolm McDowell,5,20s,12503,Stanley Kubrick,Crime,14,665743,8.3,1
3778,Dirty Harry,12605,Clint Eastwood,3,40s,282046,Harry Julian Fink,Action,15,128859,7.8,1
3779,Willy Wonka & the Chocolate Factory,13161,Gene Wilder,4,30s,11698,Roald Dahl,Family,12,154307,7.8,1
3780,Dial M for Murder,12141,Ray Milland,3,40s,451234,Frederick Knott,Crime,14,135451,8.2,1
3781,On the Waterfront,12471,Marlon Brando,5,20s,752241,Budd Schulberg,Crime,14,124442,8.2,1
3782,Rear Window,12534,James Stewart,3,40s,355307,John Michael Hayes,Mystery,8,384035,8.5,1
3783,Shichinin no samurai,12140,ToshirÃ´ Mifune,4,30s,12504,Akira Kurosawa,Adventure,10,273493,8.7,1
3784,Lady and the Tramp,511094,Barbara Luddy,3,40s,314718,Ward Greene,Adventure,10,104164,7.3,1
3785,12 Angry Men,12483,Henry Fonda,2,50s,712114,Reginald Rose,Crime,14,567370,8.9,1
3786,The Bridge on the River Kwai,12497,William Holden,4,30s,98230,Pierre Boulle,Adventure,10,180630,8.2,1
3787,Paths of Glory,12481,Kirk Douglas,3,40s,12503,Stanley Kubrick,Drama,1,149696,8.4,1
3788,Det sjunde inseglet,13417,Max von Sydow,5,20s,12468,Ingmar Bergman,Drama,1,138034,8.2,1
3789,Vertigo,12534,James Stewart,3,40s,183778,Alec Coppel,Mystery,8,308189,8.3,1
3790,Ben-Hur,12495,Charlton Heston,4,30s,872201,Lew Wallace,Adventure,10,195750,8.1,1
3791,North by Northwest,12489,Cary Grant,2,50s,488268,Ernest Lehman,Adventure,10,262620,8.3,1
3792,Sleeping Beauty,161739,Mary Costa,5,20s,649749,Erdman Penner,Animation,11,118190,7.3,1
3793,Some Like It Hot,12517,Marilyn Monroe,4,30s,13160,Billy Wilder,Comedy,3,212170,8.2,1
3794,The Apartment,12956,Jack Lemmon,4,30s,13160,Billy Wilder,Comedy,3,137266,8.3,1
3795,The Godfather,12471,Marlon Brando,3,40s,662596,Mario Puzo,Crime,14,1385556,9.2,1
3796,Indiana Jones and the Temple of Doom,12611,Harrison Ford,3,40s,398236,Willard Huyck,Action,15,389879,7.6,1
3797,The Karate Kid,12098,Ralph Macchio,5,20s,428205,Robert Mark Kamen,Action,15,153577,7.2,0
3798,Kaze no tani no Naushika,764108,Sumi Shimamoto,5,20s,557781,Hayao Miyazaki,Adventure,10,123429,8.1,1
3799,A Nightmare on Elm Street,12949,Heather Langenkamp,6,teenager,12590,Wes Craven,Horror,18,179462,7.5,1
3800,Once Upon a Time in America,12597,Robert De Niro,3,40s,341344,Harry Grey,Crime,14,266834,8.4,1
3801,Police Academy,12893,Steve Guttenberg,5,20s,392913,Neal Israel,Comedy,3,100637,6.7,0
3802,The Terminator,12679,Arnold Schwarzenegger,4,30s,12579,James Cameron,Action,15,706664,8.0,1
3803,This Is Spinal Tap,12265,Rob Reiner,4,30s,11906,Christopher Guest,Comedy,3,117670,8.0,1
3804,Die unendliche Geschichte,12904,Noah Hathaway,6,teenager,13046,Wolfgang Petersen,Adventure,10,115600,7.4,1
3805,Back to the Future,12613,Michael J. Fox,5,20s,13172,Robert Zemeckis,Adventure,10,896271,8.5,1
3806,Brazil,13059,Jonathan Pryce,4,30s,12879,Terry Gilliam,Drama,1,171377,8.0,1
3807,The Breakfast Club,12852,Emilio Estevez,5,20s,12918,John Hughes,Comedy,3,308301,7.9,1
3808,Commando,12679,Arnold Schwarzenegger,4,30s,478439,Jeph Loeb,Action,15,129825,6.7,0
3809,Star Wars,12897,Mark Hamill,5,20s,12647,George Lucas,Action,15,1085073,8.6,1
3810,Dawn of the Dead,262398,David Emge,4,30s,12285,George A. Romero,Horror,18,101299,8.0,1
3811,The Deer Hunter,12597,Robert De Niro,4,30s,11651,Michael Cimino,Drama,1,276537,8.1,1
3812,Grease,12700,John Travolta,5,20s,406896,Jim Jacobs,Musical,19,201443,7.2,0
3813,Halloween,13050,Donald Pleasence,2,50s,12581,John Carpenter,Horror,18,197875,7.8,1
3814,Animal House,12467,John Belushi,5,20s,13064,Harold Ramis,Comedy,3,102659,7.6,1
3815,Superman,12263,Christopher Reeve,5,20s,772308,Jerry Siegel,Action,15,143975,7.3,1
3816,Alien,12707,Sigourney Weaver,5,20s,623984,Dan O'Bannon,Horror,18,689221,8.5,1
3817,Apocalypse Now,13103,Martin Sheen,4,30s,570180,John Milius,Drama,1,529788,8.5,1
3818,Escape from Alcatraz,12605,Clint Eastwood,3,40s,113281,J. Campbell Bruce,Biography,17,101410,7.6,1
3819,Kramer vs. Kramer,12626,Dustin Hoffman,3,40s,180059,Avery Corman,Drama,1,114619,7.8,1
3820,Life of Brian,11641,Graham Chapman,4,30s,11641,Graham Chapman,Comedy,3,323418,8.1,1
3821,Mad Max,12617,Mel Gibson,5,20s,538904,James McCausland,Action,15,172523,7.0,0
3822,Manhattan,12558,Woody Allen,3,40s,12558,Woody Allen,Comedy,3,119123,8.0,1
3823,Rocky II,12693,Sylvester Stallone,4,30s,12693,Sylvester Stallone,Drama,1,164874,7.2,0
3824,Airplane!,11936,Robert Hays,4,30s,74418,Hall Bartlett,Comedy,3,185085,7.8,1
3825,The Blues Brothers,12467,John Belushi,4,30s,12564,Dan Aykroyd,Adventure,10,163220,7.9,1
3826,The Elephant Man,12627,Anthony Hopkins,3,40s,204093,Christopher De Vore,Biography,17,194475,8.2,1
3827,Star Wars: Episode V - The Empire Strikes Back,12897,Mark Hamill,5,20s,109665,Leigh Brackett,Action,15,1014952,8.8,1
3828,Friday the 13th,625154,Betsy Palmer,2,50s,560737,Victor Miller,Horror,18,101885,6.5,0
3829,Raging Bull,12597,Robert De Niro,4,30s,472898,Jake LaMotta,Biography,17,278750,8.2,1
3830,The Shining,12660,Jack Nicholson,3,40s,12638,Stephen King,Drama,1,749363,8.4,1
3831,Das Boot,12242,JÃ¼rgen Prochnow,4,30s,13046,Wolfgang Petersen,Adventure,10,201794,8.4,1
3832,Conan the Barbarian,12679,Arnold Schwarzenegger,4,30s,396024,Robert E. Howard,Adventure,10,125530,6.9,0
3833,Escape from New York,13084,Kurt Russell,5,20s,12581,John Carpenter,Action,15,108661,7.2,0
3834,Mad Max 2,12617,Mel Gibson,5,20s,355453,Terry Hayes,Action,15,151458,7.6,1
3835,Raiders of the Lost Ark,12611,Harrison Ford,4,30s,12014,Lawrence Kasdan,Action,15,782620,8.5,1
3836,Blade Runner,12611,Harrison Ford,4,30s,263170,Hampton Fancher,Sci-Fi,2,606770,8.2,1
3837,E.T. the Extra-Terrestrial,12398,Henry Thomas,6,teenager,528450,Melissa Mathison,Family,12,327088,7.9,1
3838,The Evil Dead,144125,Bruce Campbell,5,20s,13063,Sam Raimi,Horror,18,165244,7.5,1
3839,First Blood,12693,Sylvester Stallone,4,30s,572961,David Morrell,Action,15,196415,7.7,1
3840,Gandhi,12030,Ben Kingsley,4,30s,103231,John Briley,Biography,17,202513,8.1,1
3841,The Goonies,12739,Sean Astin,6,teenager,12692,Steven Spielberg,Adventure,10,210296,7.8,1
3842,Mad Max Beyond Thunderdome,12617,Mel Gibson,5,20s,355453,Terry Hayes,Action,15,115347,6.3,0
3843,Rambo: First Blood Part II,12693,Sylvester Stallone,4,30s,572961,David Morrell,Action,15,134080,6.4,0
3844,Rocky IV,12693,Sylvester Stallone,4,30s,12693,Sylvester Stallone,Drama,1,160966,6.8,0
3845,Aliens,12707,Sigourney Weaver,4,30s,12579,James Cameron,Action,15,582466,8.4,1
3846,Big Trouble in Little China,13084,Kurt Russell,4,30s,323569,Gary Goldman,Action,15,109376,7.3,1
3847,Blue Velvet,13081,Isabella Rossellini,4,30s,12649,David Lynch,Drama,1,157567,7.8,1
3848,Ferris Bueller's Day Off,12574,Matthew Broderick,5,20s,12918,John Hughes,Comedy,3,281264,7.8,1
3849,The Fly,12619,Jeff Goldblum,4,30s,659166,Charles Edward Pogue,Drama,1,140421,7.5,1
3850,Highlander,12946,Christopher Lambert,5,20s,878067,Gregory Widen,Action,15,110538,7.2,0
3851,Labyrinth,12772,David Bowie,4,30s,474461,Dennis Lee,Adventure,10,109844,7.4,1
3852,Interview with the Vampire: The Vampire Chronicles,12556,Brad Pitt,4,30s,687529,Anne Rice,Drama,1,268460,7.6,1
3853,Legends of the Fall,12556,Brad Pitt,4,30s,763993,Susan Shilliday,Drama,1,129077,7.5,1
3854,The Lion King,12574,Matthew Broderick,4,30s,844172,Christopher Vogler,Adventure,10,798547,8.5,1
3855,LÃ©on,13069,Jean Reno,3,40s,12571,Luc Besson,Crime,14,887226,8.6,1
3856,The Mask,12583,Jim Carrey,4,30s,261072,Michael Fallon,Comedy,3,305199,6.9,0
3857,Natural Born Killers,12900,Woody Harrelson,4,30s,12696,Quentin Tarantino,Crime,14,195475,7.3,1
3858,Pulp Fiction,12700,John Travolta,4,30s,12696,Quentin Tarantino,Crime,14,1578153,8.9,1
3859,The Shawshank Redemption,12672,Tim Robbins,4,30s,12638,Stephen King,Drama,1,2021785,9.3,1
3860,Speed,12669,Keanu Reeves,5,20s,20887,Graham Yost,Action,15,294477,7.2,0
3861,Stargate,13084,Kurt Russell,3,40s,13574,Dean Devlin,Action,15,162558,7.1,0
3862,True Lies,12679,Arnold Schwarzenegger,3,40s,921034,Claude Zidi,Action,15,214428,7.2,0
3863,The Exorcist,11599,Ellen Burstyn,3,40s,92255,William Peter Blatty,Horror,18,322652,8.0,1
3864,Papillon,13000,Steve McQueen,3,40s,834526,Dalton Trumbo,Biography,17,109629,8.0,1
3865,The Sting,12519,Paul Newman,3,40s,867193,David S. Ward,Comedy,3,211940,8.3,1
3866,Blazing Saddles,12080,Cleavon Little,4,30s,12779,Mel Brooks,Comedy,3,112709,7.8,1
3867,Chinatown,12660,Jack Nicholson,4,30s,12405,Robert Towne,Drama,1,257675,8.2,1
3868,The Godfather: Part II,12662,Al Pacino,4,30s,12801,Francis Ford Coppola,Crime,14,959584,9.0,1
3869,Monty Python and the Holy Grail,11641,Graham Chapman,4,30s,11641,Graham Chapman,Adventure,10,446545,8.3,1
3870,The Texas Chain Saw Massacre,126612,Marilyn Burns,5,20s,376098,Kim Henkel,Horror,18,116966,7.5,1
3871,Young Frankenstein,13161,Gene Wilder,3,40s,13161,Gene Wilder,Comedy,3,130383,8.0,1
3872,Barry Lyndon,602384,Ryan O'Neal,4,30s,12503,Stanley Kubrick,Adventure,10,127512,8.1,1
3873,Dog Day Afternoon,12662,Al Pacino,4,30s,659874,Frank Pierson,Biography,17,213535,8.0,1
3874,Jaws,12306,Roy Scheider,3,40s,13473,Peter Benchley,Adventure,10,494921,8.0,1
3875,One Flew Over the Cuckoo's Nest,12660,Jack Nicholson,4,30s,345101,Lawrence Hauben,Drama,1,803004,8.7,1
3876,The Rocky Horror Picture Show,12810,Tim Curry,5,20s,619248,Richard O'Brien,Comedy,3,119199,7.4,1
3877,Carrie,13114,Sissy Spacek,5,20s,12638,Stephen King,Horror,18,147416,7.4,1
3878,Network,11763,Faye Dunaway,4,30s,156886,Paddy Chayefsky,Drama,1,126969,8.1,1
3879,Rocky,12693,Sylvester Stallone,5,20s,12693,Sylvester Stallone,Drama,1,456457,8.1,1
3880,Taxi Driver,12597,Robert De Niro,4,30s,12311,Paul Schrader,Crime,14,614014,8.3,1
3881,Annie Hall,12558,Woody Allen,3,40s,12558,Woody Allen,Comedy,3,231870,8.0,1
3882,Close Encounters of the Third Kind,12840,Richard Dreyfuss,5,20s,12692,Steven Spielberg,Drama,1,162847,7.7,1
3883,Ace Ventura: When Nature Calls,12583,Jim Carrey,4,30s,76092,Jack Bernstein,Adventure,10,182689,6.3,0
3884,Apollo 13,12621,Tom Hanks,4,30s,502149,Jim Lovell,Adventure,10,238824,7.6,1
3885,Babe,12805,James Cromwell,2,50s,450133,Dick King-Smith,Comedy,3,106060,6.8,0
3886,Bad Boys,12689,Will Smith,5,20s,306663,George Gallo,Action,15,200401,6.8,0
3887,Batman Forever,12637,Val Kilmer,4,30s,18625,Bob Kane,Action,15,214882,5.4,0
3888,Before Sunrise,12623,Ethan Hawke,5,20s,12963,Richard Linklater,Drama,1,229686,8.1,1
3889,Billy Madison,11795,Adam Sandler,5,20s,369242,Tim Herlihy,Comedy,3,118317,6.4,0
3890,Braveheart,12617,Mel Gibson,4,30s,872269,Randall Wallace,Biography,17,868002,8.4,1
3891,Casino,12597,Robert De Niro,2,50s,656215,Nicholas Pileggi,Crime,14,400778,8.2,1
3892,Casper,13060,Bill Pullman,3,40s,633385,Joseph Oriolo,Comedy,3,103129,6.1,0
3893,Clueless,12687,Alicia Silverstone,6,teenager,13665,Amy Heckerling,Comedy,3,150049,6.8,0
3894,Desperado,12567,Antonio Banderas,4,30s,12279,Robert Rodriguez,Action,15,155737,7.2,0
3895,Die Hard with a Vengeance,12709,Bruce Willis,4,30s,372611,Jonathan Hensleigh,Action,15,332967,7.6,1
3896,GoldenEye,12575,Pierce Brosnan,3,40s,11824,Ian Fleming,Action,15,218451,7.2,0
3897,La haine,13526,Vincent Cassel,5,20s,431921,Mathieu Kassovitz,Crime,14,128094,8.1,1
3898,Heat,12662,Al Pacino,2,50s,12983,Michael Mann,Crime,14,508600,8.2,1
3899,Judge Dredd,12693,Sylvester Stallone,3,40s,864110,John Wagner,Action,15,100377,5.5,0
3900,Jumanji,12708,Robin Williams,3,40s,372611,Jonathan Hensleigh,Adventure,10,260126,6.9,0
3901,KÃ´kaku KidÃ´tai,796600,Atsuko Tanaka,4,30s,760624,Shirow Masamune,Action,15,111244,8.0,1
3902,Leaving Las Vegas,12578,Nicolas Cage,4,30s,3759356,John O'Brien,Drama,1,104450,7.5,1
3903,Awakenings,12597,Robert De Niro,3,40s,732420,Oliver Sacks,Biography,17,108575,7.8,1
3904,Back to the Future Part III,12613,Michael J. Fox,5,20s,13172,Robert Zemeckis,Adventure,10,344011,7.4,1
3905,Dances with Wolves,12589,Kevin Costner,4,30s,93343,Michael Blake,Adventure,10,214392,8.0,1
3906,Die Hard 2,12709,Bruce Willis,4,30s,863874,Walter Wager,Action,15,304535,7.1,0
3907,Edward Scissorhands,12599,Johnny Depp,5,20s,12781,Tim Burton,Drama,1,405129,7.9,1
3908,Ghost,13127,Patrick Swayze,4,30s,710032,Bruce Joel Rubin,Drama,1,174087,7.0,0
3909,The Godfather: Part III,12662,Al Pacino,3,40s,662596,Mario Puzo,Crime,14,318448,7.6,1
3910,Goodfellas,12597,Robert De Niro,3,40s,656215,Nicholas Pileggi,Crime,14,871369,8.7,1
3911,Home Alone,12809,Macaulay Culkin,7,childhood,12918,John Hughes,Comedy,3,384992,7.5,1
3912,The Hunt for Red October,12588,Sean Connery,2,50s,13540,Tom Clancy,Action,15,160658,7.6,1
3913,Kindergarten Cop,12679,Arnold Schwarzenegger,3,40s,728413,Murray Salem,Comedy,3,121887,6.1,0
3914,Miller's Crossing,12784,Gabriel Byrne,4,30s,11658,Joel Coen,Crime,14,115679,7.8,1
3915,Misery,11605,James Caan,3,40s,12638,Stephen King,Crime,14,159078,7.8,1
3916,Predator 2,12881,Danny Glover,3,40s,820112,Jim Thomas,Action,15,128883,6.3,0
3917,Pretty Woman,12615,Richard Gere,3,40s,481372,J.F. Lawton,Comedy,3,250428,7.0,0
3918,Rocky V,12693,Sylvester Stallone,3,40s,12693,Sylvester Stallone,Drama,1,110644,5.2,0
3919,Total Recall,12679,Arnold Schwarzenegger,3,40s,11744,Philip K. Dick,Action,15,271553,7.5,1
3920,Tremors,12565,Kevin Bacon,4,30s,885354,S.S. Wilson,Comedy,3,105447,7.2,0
3921,The Addams Family,11982,Anjelica Huston,4,30s,29500,Charles Addams,Comedy,3,111746,6.9,0
3922,Barton Fink,12410,John Turturro,4,30s,11658,Joel Coen,Comedy,3,101647,7.7,1
3923,Beauty and the Beast,615750,Paige O'Hara,4,30s,898462,Linda Woolverton,Animation,11,377507,8.0,1
3924,Boyz n the Hood,12884,Cuba Gooding Jr.,5,20s,17472,John Singleton,Crime,14,108665,7.8,1
3925,Cape Fear,12597,Robert De Niro,3,40s,506123,John D. MacDonald,Crime,14,148651,7.3,1
3926,Hook,12626,Dustin Hoffman,2,50s,61737,J.M. Barrie,Adventure,10,208065,6.7,0
3927,JFK,12589,Kevin Costner,4,30s,12694,Oliver Stone,Drama,1,128105,8.0,1
